id	nr_urz	miasto	woj	powiat	gmina	rodzaj_urzedu	urzad	kod	adres	nazwa_bel_1	nazwa_bel_2	odes³anie_do_starostwa	skrot	nazwa_1	nazwa_2	nazwa_ca³a	konto_oplat_geodezyjnych	jaka nazwa
420	1543	Dobre Miasto	warmiñsko-mazurskie	olsztyñski	Dobre Miasto	9	Urz¹d Miasta i Gminy	11-040	ul. Warszawska 14	Urz¹d Miejski	w Dobrym Mieœcie	1545	UMDobrym Mieœcie	Urz¹d Miejski w Dobrym Mieœcie		Urz¹d Miejski w Dobrym Mieœcie		
789	1544	Jonkowo	warmiñsko-mazurskie	olsztyñski	Jonkowo	10	Urz¹d Gminy	11-042	ul. Klonowa 2	Urz¹d Gminy	Jonkowo	1545	UMJonkowo	Urz¹d Gminy Jonkowo		Urz¹d Gminy Jonkowo		
1582	1545	Olsztyn	warmiñsko-mazurskie	olsztyñski	Olsztyn	4	Starostwo Powiatowe	10-516	Pl. Bema 5			0	SPOlsztynie	Starostwo Powiatowe w Olsztynie		Starostwo Powiatowe w Olsztynie	a92885700023001000039000005	
110	1546	Biskupiec	warmiñsko-mazurskie	olsztyñski	Biskupiec	9	Urz¹d Miasta i Gminy	11-300	Al. Niepodleg³oœci 2	Urz¹d Miejski	w Biskupcu	1545	UMBiskupcu	Urz¹d Miejski w Biskupcu		Urz¹d Miejski w Biskupcu		
468	1547	Dywity	warmiñsko-mazurskie	olsztyñski	Dywity	10	Urz¹d Gminy	11-001	ul. Olsztyñska 32	Urz¹d Gminy	Dywity	1545	UMDywity	Urz¹d Gminy Dywity		Urz¹d Gminy Dywity		
1583	1548	Olsztynek	warmiñsko-mazurskie	olsztyñski	Olsztynek	9	Urz¹d Miasta i Gminy	11-015	ul. Ratusz 1	Urz¹d Miejski	w Olsztynku	1545	UMOlsztynku	Urz¹d Miejski w Olsztynku		Urz¹d Miejski w Olsztynku		
921	1549	Kolno	warmiñsko-mazurskie	olsztyñski	Kolno	10	Urz¹d Gminy	11-311	Kolno 33	Urz¹d Gminy	Kolno	1545	UMKolno2	Urz¹d Gminy Kolno		Urz¹d Gminy Kolno		
1871	1550	Purda	warmiñsko-mazurskie	olsztyñski	Purda	10	Urz¹d Gminy	11-030	Purda 19	Urz¹d Gminy	w Purdzie	1545	UMPurdzie	Urz¹d Gminy w Purdzie		Urz¹d Gminy w Purdzie		
2224	1551	Stawiguda	warmiñsko-mazurskie	olsztyñski	Stawiguda	10	Urz¹d Gminy	11-034	ul. Olsztyñska 10	Urz¹d Gminy	Stawiguda	1545	UMStawiguda	Urz¹d Gminy Stawiguda		Urz¹d Gminy Stawiguda		
2362	1552	Œwi¹tki	warmiñsko-mazurskie	olsztyñski	Œwi¹tki	10	Urz¹d Gminy	11-008	Œwi¹tki 87	Urz¹d Gminy	w Œwi¹tkach	1545	UMŒwi¹tkach	Urz¹d Gminy w Œwi¹tkach		Urz¹d Gminy w Œwi¹tkach		
436	1553	Domaniów	dolnoœl¹skie	o³awski	Domaniów	10	Urz¹d Gminy	55-216	Domaniów 56	Urz¹d Gminy	Domaniów	1556	UMDomaniów	Urz¹d Gminy Domaniów		Urz¹d Gminy Domaniów		
1586	1554	O³awa	dolnoœl¹skie	o³awski	O³awa	10	Urz¹d Gminy	55-200	Pl. Pi³sudskiego 28	Urz¹d Gminy	O³awa	1556	UMO³awa	Urz¹d Gminy O³awa		Urz¹d Gminy O³awa		
1587	1555	O³awa	dolnoœl¹skie	o³awski	O³awa	8	Urz¹d Miasta	55-200	Pl. Zamkowy 15	Urz¹d Miejski	w O³awie	1556	UMO³awie	Urz¹d Miejski w O³awie		Urz¹d Miejski w O³awie		
1585	1556	O³awa	dolnoœl¹skie	o³awski	O³awa	4	Starostwo Powiatowe	55-200	ul. 3 Maja 1			0	SPO³awie	Starostwo Powiatowe w O³awie		Starostwo Powiatowe w O³awie	a48958500070010001805428093	
768	1557	Jelcz-Laskowice	dolnoœl¹skie	o³awski	Jelcz-Laskowice	9	Urz¹d Miasta i Gminy	55-230	ul. Witosa 24	Urz¹d Miasta i Gminy	Jelcz-Laskowice	1556	UMJelcz-Laskowice	Urz¹d Miasta i Gminy Jelcz-Laskowice		Urz¹d Miasta i Gminy Jelcz-Laskowice		
24	1558	Baækowice	œwiêtokrzyskie	opatowski	Baækowice	10	Urz¹d Gminy	27-552	Baækowice 84	Urz¹d Gminy	w Baækowicach	1563	UMBaækowicach	Urz¹d Gminy w Baækowicach		Urz¹d Gminy w Baækowicach		
1592	1559	Opatów	œwiêtokrzyskie	opatowski	Opatów	9	Urz¹d Miasta i Gminy	27-500	Pl. Obroñców Pokoju 34	Urz¹d Miasta i Gminy	Opatów	1563	UMOpatów	Urz¹d Miasta i Gminy Opatów		Urz¹d Miasta i Gminy Opatów		
